Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.1436,0,0.3
2,0.1052,0,0.25
3,0.1015,0,0.25
4,0.1436,0,0.3
5,0.0994,0,0.25
6,0,0,0
7,0.0478,0,0.15
8,0.0967,0,0.25
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0.0499,0,0.15
17,0.0514999999999999,0,0.15
18,0,0,0
19,0.0514999999999999,0,0.15
20,0.1031,0,0.25
21,0,0,0
22,0,0,0
23,0,0,0
24,0.0969,0,0.25
25,0,0,0
26,0,0,0
27,0,0,0
28,0.2405,0.05,0.45
29,0,0,0
30,0,0,0
31,0,0,0
32,0.2445,0.05,0.45
33,0.0508999999999999,0,0.15
34,0,0,0
35,0.2903,0.05,0.55
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0.1436,0,0.3
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0.0499,0,0.15
53,0.1076,0,0.25
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0.0514999999999999,0,0.15
59,0.0967,0,0.25
60,0,0,0
61,0.0986,0,0.25
62,0.1482,0,0.3
63,0,0,0
64,0,0,0
65,0.1032,0,0.3
66,0,0,0
67,0,0,0
68,0.0478,0,0.15
69,0,0,0
70,0.1914,0.05,0.4
71,0,0,0
72,0.3842,0.1,0.75
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
